Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
20816,17035,1,2.87,1.684766657
20817,38908,2,5.74,1.475275008
20854,50698,1,2.87,0.566097282
20871,28557,1,2.87,1.005007529
20874,62908,3,8.61,1.368665353
20878,65990,1,2.87,0.434914381
20882,13890,2,5.74,4.132469402
20895,19753,1,2.87,1.452943857
20901,36537,1,2.87,0.785505104
20906,71641,4,11.48,1.60243436
20910,45610,1,2.87,0.629247972
20912,25463,1,2.87,1.127125633
21012,22377,1,2.87,1.282566921
21015,30400,2,5.74,1.888157895
21028,3172,1,2.87,9.047919294
21029,12919,1,2.87,2.221534174
21037,21453,1,2.87,1.337808232
21051,256,1,2.87,112.109375
21075,35900,1,2.87,0.799442897
21104,5686,2,5.74,10.0949701
21111,5062,1,2.87,5.669695772
21136,34973,1,2.87,0.82063306
21201,18382,2,5.74,3.122619954
21202,22247,1,2.87,1.290061581
21210,14441,1,2.87,1.987396995
21211,17721,1,2.87,1.61954743
21218,46238,2,5.74,1.241403175
21220,44568,1,2.87,0.643959792
21231,17062,1,2.87,1.682100574
21234,67308,2,5.74,0.852796102
21286,21470,1,2.87,1.336748952
21401,39308,1,2.87,0.730131271
21403,31521,2,5.74,1.821008217
21532,13328,1,2.87,2.153361345
21702,46412,2,5.74,1.236749117
21742,33069,1,2.87,0.867882307
21774,15496,1,2.87,1.852090862
21776,5726,1,2.87,5.012224939
21794,2532,2,5.74,22.66982622
21795,9873,1,2.87,2.906917857
21901,18517,2,5.74,3.099854188
21919,3124,2,5.74,18.37387964
22015,43941,2,5.74,1.30629708
22030,60431,2,5.74,0.949843623
22031,35256,4,11.48,3.256183345
22032,29909,1,2.87,0.959577385
22042,34638,2,5.74,1.657139558
22043,25850,2,5.74,2.220502901
22066,18165,2,5.74,3.159922929
22101,31414,1,2.87,0.913605399
22102,27743,3,8.61,3.103485564
22152,29843,1,2.87,0.961699561
22180,26666,3,8.61,3.228830721
22181,15555,6,17.22,11.07039537
22182,27778,1,2.87,1.033191734
22191,74189,1,2.87,0.386849803
22201,39331,2,5.74,1.459408609
22202,28472,2,5.74,2.016015735
22203,25437,3,8.61,3.384833117
22204,52761,2,5.74,1.087924793
22205,18594,2,5.74,3.087017317
22302,17972,2,5.74,3.193857111
22303,16109,1,2.87,1.781612763
22304,49237,1,2.87,0.582894977
22309,33773,2,5.74,1.699582507
22310,29611,2,5.74,1.938468812
22401,27799,1,2.87,1.032411238
22485,26025,1,2.87,1.102785783
22554,64354,1,2.87,0.445970724
22556,29688,1,2.87,0.96672056
22603,16298,1,2.87,1.760952264
22611,9176,2,5.74,6.255448997
22901,36938,2,5.74,1.553955276
22902,22457,1,2.87,1.277997952
23059,40249,2,5.74,1.426122388
23111,38151,2,5.74,1.504547718
23112,54592,3,8.61,1.577154162
23116,32410,1,2.87,0.885529158
23219,5307,1,2.87,5.407951762
23223,51960,1,2.87,0.55234796
23235,34058,1,2.87,0.842680134
23320,60412,1,2.87,0.475071178
23435,32597,1,2.87,0.880449121
23452,59076,1,2.87,0.485814883
23454,58665,1,2.87,0.489218444
23455,50599,2,5.74,1.134409771
23456,59454,2,5.74,0.965452282
23507,6460,2,5.74,8.885448916
23508,20485,2,5.74,2.802050281
23607,23498,1,2.87,1.221380543
24014,16869,1,2.87,1.701345664
24018,39144,1,2.87,0.733190272
24060,46755,4,11.48,2.455352369
24175,8165,1,2.87,3.515003062
24211,9864,1,2.87,2.909570154
24435,1695,1,2.87,16.93215339
25202,1445,1,2.87,19.8615917
25304,8466,2,5.74,6.780061422
25880,5340,1,2.87,5.374531835
26164,7674,1,2.87,3.739900964
26419,761,1,2.87,37.71353482
26802,937,1,2.87,30.62966916
27101,21654,1,2.87,1.325390228
27106,49115,1,2.87,0.584342869
27203,21869,1,2.87,1.312359962
27244,16671,1,2.87,1.721552396
27278,28846,1,2.87,0.99493864
27284,56859,1,2.87,0.504757382
27330,39489,2,5.74,1.453569348
27406,61597,2,5.74,0.931863565
27410,54968,2,5.74,1.044243924
27502,45725,1,2.87,0.627665391
27510,14801,1,2.87,1.939058172
27513,46526,2,5.74,1.233718781
27514,33809,5,14.35,4.244431956
27516,45841,2,5.74,1.252154185
27517,28837,3,8.61,2.985747477
27519,65923,1,2.87,0.435356401
27523,17320,1,2.87,1.65704388
27527,33827,1,2.87,0.848434682
27530,37470,2,5.74,1.53189218
27539,26326,3,8.61,3.270531034
27540,44302,1,2.87,0.647826283
27560,38959,2,5.74,1.473343772
27604,46076,1,2.87,0.622883931
27608,12018,1,2.87,2.38808454
27609,36218,1,2.87,0.792423657
27612,39576,1,2.87,0.725186982
27613,46969,3,8.61,1.833123975
27617,20968,1,2.87,1.368752385
27701,25208,1,2.87,1.138527452
27705,50472,4,11.48,2.274528451
27713,54988,1,2.87,0.521932058
27810,3439,1,2.87,8.345449259
27958,12078,1,2.87,2.376221229
28036,21244,1,2.87,1.350969686
28079,39051,1,2.87,0.734936365
28105,44085,1,2.87,0.651015084
28115,43413,2,5.74,1.322184599
28166,10357,1,2.87,2.771072704
28205,49600,1,2.87,0.578629032
28215,61842,2,5.74,0.928171793
28278,33426,2,5.74,1.717226111
28327,18118,3,8.61,4.752180152
28374,18818,1,2.87,1.525135509
28405,31775,5,14.35,4.516129032
28412,42758,1,2.87,0.671219421
28428,6848,1,2.87,4.191004673
28461,22141,4,11.48,5.184950996
28584,13584,2,5.74,4.225559482
28601,53973,1,2.87,0.531747355
28625,38396,5,14.35,3.737368476
28626,2499,2,5.74,22.96918768
28704,23734,1,2.87,1.209235696
